"county","total_new_cases","month","year","hospitalizations","vaccinations"
"Kinney County",14,"March",2022,4,57870
"Kleberg County",116,"March",2022,646,572499
"Knox County",5,"March",2022,115,44302
"Lamar County",78,"March",2022,6,610721
"Lamb County",54,"March",2022,281,172963
"Lampasas County",32,"March",2022,255,310788
"La Salle County",51,"March",2022,2167,150076
"Lavaca County",81,"March",2022,204,257117
"Lee County",35,"March",2022,689,250263
"Leon County",39,"March",2022,0,192426
"Liberty County",586,"March",2022,4785,1143802
"Limestone County",23,"March",2022,110,269682
"Lipscomb County",81,"March",2022,6,34159
"Live Oak County",10,"March",2022,646,160712
"Llano County",49,"March",2022,689,344815
"Loving County",7,"March",2022,738,272
"Lubbock County",311,"March",2022,281,4665329
"Lynn County",141,"March",2022,281,71660
"McCulloch County",31,"March",2022,12,94826
"McLennan County",1337,"March",2022,110,4072301
"McMullen County",1,"March",2022,2167,10574
"Madison County",27,"March",2022,0,182198
"Marion County",30,"March",2022,0,122990
"Martin County",25,"March",2022,44,55981
"Mason County",4,"March",2022,20,62803
"Matagorda County",174,"March",2022,49,527471
"Maverick County",208,"March",2022,4,1673699
"Medina County",282,"March",2022,2167,884008
"Menard County",1,"March",2022,12,35560
"Midland County",2810,"March",2022,44,2334595
"Milam County",22,"March",2022,255,347462
"Mills County",14,"March",2022,0,67282
"Mitchell County",2,"March",2022,9,94319
"Montague County",35,"March",2022,115,214706
"Montgomery County",2127,"March",2022,4785,10180901
"Moore County",189,"March",2022,252,293888
"Morris County",31,"March",2022,14,163461
"Motley County",16,"March",2022,281,10934
"Nacogdoches County",310,"March",2022,40,954805
"Navarro County",212,"March",2022,14,699648
"Newton County",12,"March",2022,172,105722
"Nolan County",12,"March",2022,9,190990
"Nueces County",1523,"March",2022,646,6402213
"Ochiltree County",182,"March",2022,252,117075
"Oldham County",22,"March",2022,252,23106
"Orange County",27,"March",2022,172,933170
"Palo Pinto County",26,"March",2022,8,348524
"Panola County",116,"March",2022,61,272435
"Parker County",443,"March",2022,1066,2375601
"Parmer County",63,"March",2022,0,120535
"Pecos County",91,"March",2022,44,281702
"Polk County",39,"March",2022,127,748542
